번호,뉴스 제목,링크,기사 요약
64,미국 판사는 재판에 관한 국회 청문회에 출석할까? [취재파일],https://n.news.naver.com/article/055/0001257509,"국회 법제사법위원회는 내일(14일) '조희대 대법원장 등 사법부의 대선개입 의혹 진상규명 
청문회'를 개최할 예정입니다. 조희대 대법원장과 대법관 11명 등 대법원 관계자 17명이 
증인으로 채택됐습니다. 하지만 조희대 대법원장을 비롯한 법관들은 모두 출석하지 않겠다는 의"
65,"Lee Jae-myung runs on serving national interests, redistributing wealth",https://n.news.naver.com/article/044/0000269892,"Democratic Party of Korea's presidential candidate
 Rep. Lee Jae-myung holds a rally in Hwaseong, Gye
onggi Province, on Monday. YonhapThe Democratic Pa"
66,"검찰, 칠순 ‘문재인 전 사돈’ 목욕탕까지 찾아가…그 보복기소의 전말",https://n.news.naver.com/article/028/0002745547,"이춘재의 ‘검찰 수사의 재구성’문재인 전 사위 취업 의혹 사건 ①문재인 전 대통령이 4월2
5일 서울 국회 도서관에서 열린 4.27 판문점선언 7주년 기념식에 참석하고 있다. 문 전
 대통령은 기념식에 참석하기 전 우원식 국회의장을 만나 검찰이 자신을 기소한 것에 대해 “"
67,‘손자 사망’ 급발진 소송서 운전자 패소…법원 “페달 오조작 가능성”,https://n.news.naver.com/article/056/0011950088,"2022년 강원도 강릉시에서 12살 이도현 군이 숨진 차량 급발진 의심 사고는 차량 결함 
때문으로 보기 어렵다는 민사소송 1심 판결이 나왔습니다.춘천지법 강릉지원 민사2부는 오늘(
13일) 도현 군 가족 측이 자동차 제조사인 KG모빌리티를 상대로 제기한 9억 2천만 원 "
68,홍준표 지지자들이 이재명 지지를 선언한 이유,https://n.news.naver.com/article/006/0000129906,"홍사모 중앙회장 캠프 인사 “단일화 파행 돌이킬 수 없는 상처”“국민의힘 대표 보수정당 아
냐, 홍준표도 많이 당해”지난 대선에도 홍 캠프 인사 막판 이재명 지지▲신영길 홍사모 중앙
회장이 13일 서울 여의도 민주당 중앙당사에서 이재명 후보 지지선언문을 발표하고 있다. 사"
69,"김문수 ""윤 전 대통령 출당 조치는 옳지 않아···탈당은 본인의 뜻""",https://n.news.naver.com/article/657/0000038325,"김문수 국민의힘 대선 후보는 윤석열 전 대통령의 탈당 여부는 본인의 뜻이라며 출당 조치는 
생각해 본 적이 없다고 밝혔습니다.김 후보는 5월 13일 국민의힘 대구·경북 선거대책위원회
 발대식에 참석한 뒤 기자들과 만나 윤 전 대통령 탈당 여부에 대한 물음에 ""탈당하느냐 안"
70,"美, 중국발 소액소포 관세 120%→54%로 인하",https://n.news.naver.com/article/001/0015385289,"트럼프 미국 대통령[EPA=연합뉴스 자료사진. 재판매 및 DB 금지](서울=연합뉴스) 이도
연 기자 = 미국 백악관은 12일(현지시간) 오는 14일부터 중국발 소액 수입품에 대한 관
세를 기존의 120%에서 54%로 인하한다고 발표했다.도널드 트럼프 미국 대통령은 중국의 "
71,노화로 나빠지는 OO…치료하면 사회적 고립 늦출 수 있다,https://n.news.naver.com/article/662/0000068452,"미국 뉴욕대 그로스먼 의대 교수팀 연구결과청력손실 치료 그룹, 사회적 관계 감소 속도 늦어
삶의질 유지에 중요...보청기 등 의료보험 보장을노년층의 ‘청력 손실 치료’가 나이가 들면
서 발생하는 사회적 관계 감소를 완화하는데 영향을 준다는 연구결과가 나왔다. 사진은 기사의"
72,‘친환경’ 전기차 산업의 역설…발암물질 오염된 섬마을,https://n.news.naver.com/article/607/0000002649,"인도네시아 수도 자카르타에서 비행기로 4시간 가량 떨어진 말루쿠 제도. 1,000개에 이르
는 섬 가운데 오비 섬이 있다. 오비 섬에서 만난 마을 주민 누르하야티 주마디는 할아버지가
 돌보던 캐슈나무 숲을 기억하고 있었다. 마을 인근 개천에서 자라나던 캐슈나무들. 할아버지"
73,일곱 공간으로 나눠 본 12·3 내란의 전모 [취재 뒷담화],https://n.news.naver.com/article/308/0000036638,"독자들이 재미있게 읽은 〈시사IN〉 기사의 뒷 이야기를 들려드립니다. 담당 기자에게 직접 
듣는 취재 후기입니다.피의자 및 참고인 수 60여 명, 수사 기록은 A4 용지 4000쪽 
분량. 문상현·이은기 기자가 ‘내란의 공간’ 기획을 위해 살펴야 했던 인물과 자료들이다. "
74,"대통령 후보들, 언론자유·독립 약속부터 하라",https://n.news.naver.com/article/127/0000037642,"[우리의 주장] 편집위원회국경없는기자회가 2일 발표한 ‘2025 세계 언론자유 지수’에서 
한국이 61위를 기록했다. 지난해보다는 1계단 상승한 수치지만 여전히 ‘문제 있음(prob
lematic)’ 단계를 벗어나지 못했다.박근혜 정부 때 70위까지 급락했던 한국의 언론자"
75,"후배 깨우다 무차별 폭행한 30대 조폭…法, 폭력 전력에도 '집유' 선처",https://n.news.naver.com/article/082/0001325518,"이지민 에디터 mingmini@busan.com자고 있는 후배를 폭행해 다치게 한 30대 
폭력조직원이 1심에서 징역형의 집행유예를 선고받았다.전주지법 형사6단독(김현지 판사)은 상
해 혐의로 기소된 A(31) 씨에게 징역 1년에 집행유예 2년을 선고했다고 13일 밝혔다."
76,"""인생 역전하려면 지금이라도 사라""… 비트코인, 14억까지 오른다?",https://n.news.naver.com/article/417/0001076498,"비트코인이 2029년에는 100만달러를 돌파할 수 있다는 전망이 나왔다. 사진은 가상화폐 
비트코인이 미·중 무역 협상 기대감에 주말 동안 1억4600만원대를 회복하며 80일 만에 
반등한 지난 12일 서울 강남구 빗썸 고객 라운지 전광판에 시세가 나오고 있는 모습. /사"
77,무소불위 검사를 '무결점 인재'로 보는 일그러진 통념 [視리즈],https://n.news.naver.com/article/665/0000004997,"더스쿠프 커버스토리 視리즈권력자의 하수인과 개혁론 7편국민적 개혁론 앞에 선 검찰 中➁법무
부와 검찰의 주객전도검찰 인사 확대한 尹의 패착법조인 정계 진출 가치 있나# 더스쿠프는 '
권력자의 하수인과 개혁론 5편: 검찰 上' 편과 '권력자의 하수인과 개혁론 6편: 검찰 中"
78,"삼성전자, 얇기로 찍고 기술로 눌렀다…'초슬림폰' 전쟁 선공",https://n.news.naver.com/article/648/0000036104,"디자인·성능·내구성 삼박자…""엣지는 기술의 총합""베이퍼 챔버·AI·카메라 혁신…울트라급 기
술 밀도애플 '아이폰17 에어' 예고…정면 승부 불가피삼성전자가 13일 오전 서울 서초구 
삼성 강남에서 초슬림형 스마트폰 '갤럭시 S25 엣지'를 정식 공개하고 있다./사진=이명근"
79,"""이렇게 얇다고?"" 대박…두께 5.8㎜ '갤S25 엣지' 가격 보니",https://n.news.naver.com/article/008/0005193146,"13일 '삼성 강남'에서 진행된 '갤럭시 S25 엣지'  공개 행사에서 '갤럭시 S25 엣
지' 제품을 소개하고 있다. /사진=삼성전자삼성전자가 13일 삼성 강남에서 미디어 대상 갤
럭시언팩 행사를 열고 초슬림 스마트폰 '갤럭시S25 엣지'를 공개했다.갤럭시S25 엣지는 "
80,"[속보] 미국, 중국발 직구 상품 관세 120→54% 인하",https://n.news.naver.com/article/374/0000440207,"미국은 중국에서 발송되는 소액의 직구 상품에 적용하던 관세율을 120%에서 54%로 인하할
 예정입니다.12일(현지시간) 백악관이 발표한 행정명령에 따르면 이번 조치는 14일부터 시
행됩니다하지만, 100달러의 최소 고정 요금은 그대로 유지됩니다.보통 미국은 일정 금액 이"
81,"백화점과 콘서트홀, AI에 맞설 감각과 취향 훈련하는 공간",https://n.news.naver.com/article/262/0000018364,"[음악으로 보는 세상] 다른 듯 닮은 백화점과 콘서트홀도시를 도시답게 하는 건축물 가운데 
백화점과 콘서트홀은 산업혁명과 1848년에 일어난 유럽혁명의 결과로 등장했다. 유럽의 백화
점과 콘서트홀은 세계대전 도중 대부분 파괴됐다가, 1948년부터 미국이 서유럽 국가들을 대"
82,"홍준표 지지자들, 이재명 지지 공식 선언..""국힘, 보수 아냐""",https://n.news.naver.com/article/660/0000085167,"▲ 지난 2023년 5월 더불어민주당 이재명 대표가 대구시청 산격청사를 찾아 홍준표 대구시
장과 면담 후 악수하고 있다 [연합뉴스]홍준표 전 대구시장 지지자 모임들이 이재명 더불어민
주당 대선 후보 지지를 공식 선언했습니다.'홍준표와 함께한 사람들'이라는 이름으로 모인 홍"
